feature_id,feature_area,feature_type,cli_surface,user_story,expected_behavior,implementation_status,story_status,test_status,last_tested_at,test_command,test_result,error_notes,existing_evidence,manual_test_data_needed,source_refs
CMD-011,Attachment,CLI command,linctl attachment issue documents,"As a Linear operator using linctl, I want to list documents for the issue associated with an attachment so I can work from the agent-safe CLI surface.",List documents for the issue associated with an attachment. Usage: linctl attachment issue documents ATTACHMENT_ID [flags]. Supported flags: --limit int maximum documents to return (default 50),Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,docs/test-scenarios.md scenario 101 attachment issue projections,Requires live Linear fixture or local argument value,skills/linctl/references/commands.md; internal/cli/attachment.go
CMD-012,Attachment,CLI command,linctl attachment issue former-attachments,"As a Linear operator using linctl, I want to list former attachments for the issue associated with an attachment so I can work from the agent-safe CLI surface.",List former attachments for the issue associated with an attachment. Usage: linctl attachment issue former-attachments ATTACHMENT_ID [flags]. Supported flags: --limit int maximum former attachments to return (default 50),Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,docs/test-scenarios.md scenario 101 attachment issue projections,Requires live Linear fixture or local argument value,skills/linctl/references/commands.md; internal/cli/attachment.go
CMD-013,Attachment,CLI command,linctl attachment issue former-needs,"As a Linear operator using linctl, I want to list body-free former customer needs for the issue associated with an attachment so I can work from the agent-safe CLI surface.",List body-free former customer needs for the issue associated with an attachment. Usage: linctl attachment issue former-needs ATTACHMENT_ID [flags]. Supported flags: --limit int maximum former customer needs to return (default 50),Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,docs/test-scenarios.md scenario 101 attachment issue projections,Requires live Linear fixture or local argument value,skills/linctl/references/commands.md; internal/cli/attachment.go
CMD-014,Attachment,CLI command,linctl attachment issue get,"As a Linear operator using linctl, I want to get the issue associated with an attachment so I can work from the agent-safe CLI surface.",Get the issue associated with an attachment. Usage: linctl attachment issue get ATTACHMENT_ID.,Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,docs/test-scenarios.md scenario 101 attachment issue projections,Requires live Linear fixture or local argument value,skills/linctl/references/commands.md; internal/cli/attachment.go
CMD-015,Attachment,CLI command,linctl attachment issue history,"As a Linear operator using linctl, I want to list history metadata for the issue associated with an attachment so I can work from the agent-safe CLI surface.",List history metadata for the issue associated with an attachment. Usage: linctl attachment issue history ATTACHMENT_ID [flags]. Supported flags: --limit int maximum history entries to return (default 50),Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,docs/test-scenarios.md scenario 101 attachment issue projections,Requires live Linear fixture or local argument value,skills/linctl/references/commands.md; internal/cli/attachment.go
CMD-016,Attachment,CLI command,linctl attachment issue inverse-relations,"As a Linear operator using linctl, I want to list inverse relations for the issue associated with an attachment so I can work from the agent-safe CLI surface.",List inverse relations for the issue associated with an attachment. Usage: linctl attachment issue inverse-relations ATTACHMENT_ID [flags]. Supported flags: --limit int maximum inverse relations to return (default 50),Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,docs/test-scenarios.md scenario 101 attachment issue projections,Requires live Linear fixture or local argument value,skills/linctl/references/commands.md; internal/cli/attachment.go
CMD-017,Attachment,CLI command,linctl attachment issue labels,"As a Linear operator using linctl, I want to list labels for the issue associated with an attachment so I can work from the agent-safe CLI surface.",List labels for the issue associated with an attachment. Usage: linctl attachment issue labels ATTACHMENT_ID [flags]. Supported flags: --limit int maximum labels to return (default 50),Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,docs/test-scenarios.md scenario 101 attachment issue projections,Requires live Linear fixture or local argument value,skills/linctl/references/commands.md; internal/cli/attachment.go
CMD-018,Attachment,CLI command,linctl attachment issue needs,"As a Linear operator using linctl, I want to list body-free customer needs for the issue associated with an attachment so I can work from the agent-safe CLI surface.",List body-free customer needs for the issue associated with an attachment. Usage: linctl attachment issue needs ATTACHMENT_ID [flags]. Supported flags: --limit int maximum customer needs to return (default 50),Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,docs/test-scenarios.md scenario 101 attachment issue projections,Requires live Linear fixture or local argument value,skills/linctl/references/commands.md; internal/cli/attachment.go
CMD-019,Attachment,CLI command,linctl attachment issue relations,"As a Linear operator using linctl, I want to list relations for the issue associated with an attachment so I can work from the agent-safe CLI surface.",List relations for the issue associated with an attachment. Usage: linctl attachment issue relations ATTACHMENT_ID [flags]. Supported flags: --limit int maximum relations to return (default 50),Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,docs/test-scenarios.md scenario 101 attachment issue projections,Requires live Linear fixture or local argument value,skills/linctl/references/commands.md; internal/cli/attachment.go
CMD-020,Attachment,CLI command,linctl attachment issue releases,"As a Linear operator using linctl, I want to list releases for the issue associated with an attachment so I can work from the agent-safe CLI surface.",List releases for the issue associated with an attachment. Usage: linctl attachment issue releases ATTACHMENT_ID [flags]. Supported flags: --limit int maximum releases to return (default 50),Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,docs/test-scenarios.md scenario 101 attachment issue projections,Requires live Linear fixture or local argument value,skills/linctl/references/commands.md; internal/cli/attachment.go
CMD-021,Attachment,CLI command,linctl attachment issue shared-access,"As a Linear operator using linctl, I want to show shared-access metadata for the issue associated with an attachment so I can work from the agent-safe CLI surface.",Show shared-access metadata for the issue associated with an attachment. Usage: linctl attachment issue shared-access ATTACHMENT_ID.,Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,docs/test-scenarios.md scenario 101 attachment issue projections,Requires live Linear fixture or local argument value,skills/linctl/references/commands.md; internal/cli/attachment.go
CMD-022,Attachment,CLI command,linctl attachment issue state-history,"As a Linear operator using linctl, I want to list workflow state history for the issue associated with an attachment so I can work from the agent-safe CLI surface.",List workflow state history for the issue associated with an attachment. Usage: linctl attachment issue state-history ATTACHMENT_ID [flags]. Supported flags: --limit int maximum state spans to return (default 50),Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,docs/test-scenarios.md scenario 101 attachment issue projections,Requires live Linear fixture or local argument value,skills/linctl/references/commands.md; internal/cli/attachment.go
CMD-023,Attachment,CLI command,linctl attachment issue subscribers,"As a Linear operator using linctl, I want to list subscribers for the issue associated with an attachment so I can work from the agent-safe CLI surface.",List subscribers for the issue associated with an attachment. Usage: linctl attachment issue subscribers ATTACHMENT_ID [flags]. Supported flags: --limit int maximum subscribers to return (default 50),Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,docs/test-scenarios.md scenario 101 attachment issue projections,Requires live Linear fixture or local argument value,skills/linctl/references/commands.md; internal/cli/attachment.go
CMD-024,Attachment,CLI command,linctl attachment list,"As a Linear operator using linctl, I want to list visible issue attachments so I can work from the agent-safe CLI surface.",List visible issue attachments. Usage: linctl attachment list [flags]. Supported flags: --limit int maximum attachments to return (default 50),Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,Referenced in docs/test-scenarios.md; verify in current loop before marking passed,,skills/linctl/references/commands.md; internal/cli/attachment.go
CMD-025,Attachment,CLI command,linctl attachment url,"As a Linear operator using linctl, I want to list visible issue attachments for a URL so I can work from the agent-safe CLI surface.",List visible issue attachments for a URL. Usage: linctl attachment url URL [flags]. Supported flags: --limit int maximum attachments to return (default 50) Local-only behavior must not perform unintended remote mutations.,Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,Referenced in docs/test-scenarios.md; verify in current loop before marking passed,Requires live Linear fixture or local argument value,skills/linctl/references/commands.md; internal/cli/attachment.go
CMD-026,Audit Entry,CLI command,linctl audit-entry types,"As a Linear operator using linctl, I want to list Linear audit entry types so I can work from the agent-safe CLI surface.",List Linear audit entry types. Usage: linctl audit-entry types.,Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,Referenced in docs/test-scenarios.md; verify in current loop before marking passed,,skills/linctl/references/commands.md; internal/cli/audit_entry.go
CMD-027,Comment,CLI command,linctl comment bot-actor,"As a Linear operator using linctl, I want to show comment bot actor metadata so I can work from the agent-safe CLI surface.",Show comment bot actor metadata. Usage: linctl comment bot-actor COMMENT_ID. Guarded writes must resolve the active target and fail closed on target mismatch.,Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,Referenced in docs/test-scenarios.md; verify in current loop before marking passed,Requires live Linear fixture or local argument value,skills/linctl/references/commands.md; internal/cli/comment.go
CMD-028,Comment,CLI command,linctl comment children,"As a Linear operator using linctl, I want to list child comments without body content so I can work from the agent-safe CLI surface.",List child comments without body content. Usage: linctl comment children COMMENT_ID [flags]. Supported flags: --limit int maximum child comments to return (default 50) Guarded writes must resolve the active target and fail closed on target mismatch.,Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,Referenced in docs/test-scenarios.md; verify in current loop before marking passed,Requires live Linear fixture or local argument value,skills/linctl/references/commands.md; internal/cli/comment.go
CMD-029,Comment,CLI command,linctl comment created-issues,"As a Linear operator using linctl, I want to list issues created from a comment so I can work from the agent-safe CLI surface.",List issues created from a comment. Usage: linctl comment created-issues COMMENT_ID [flags]. Supported flags: --limit int maximum issues to return (default 50) Guarded writes must resolve the active target and fail closed on target mismatch.,Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,Referenced in docs/test-scenarios.md; verify in current loop before marking passed,Requires live Linear fixture or local argument value,skills/linctl/references/commands.md; internal/cli/comment.go
CMD-030,Comment,CLI command,linctl comment delete,"As a Linear operator using linctl, I want to delete a comment after pinned-target comparison so I can work from the agent-safe CLI surface.",Delete a comment after pinned-target comparison. Usage: linctl comment delete COMMENT_ID. Guarded writes must resolve the active target and fail closed on target mismatch.,Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23,go test -count=1 ./internal/cli,package passed; command args appear in internal/cli/command_flow_test.go,,Behavior evidence from existing package tests; verify exact scenario before live release sign-off,Requires live Linear fixture or local argument value,skills/linctl/references/commands.md; internal/cli/comment.go
CMD-031,Comment,CLI command,linctl comment get,"As a Linear operator using linctl, I want to get one comment by id so I can work from the agent-safe CLI surface.",Get one comment by id. Usage: linctl comment get COMMENT_ID. Guarded writes must resolve the active target and fail closed on target mismatch.,Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,Referenced in docs/test-scenarios.md; verify in current loop before marking passed,Requires live Linear fixture or local argument value,skills/linctl/references/commands.md; internal/cli/comment.go
CMD-032,Comment,CLI command,linctl comment list,"As a Linear operator using linctl, I want to list visible comments so I can work from the agent-safe CLI surface.",List visible comments. Usage: linctl comment list [flags]. Supported flags: --limit int maximum comments to return (default 50) Guarded writes must resolve the active target and fail closed on target mismatch.,Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,Referenced in docs/test-scenarios.md; verify in current loop before marking passed,,skills/linctl/references/commands.md; internal/cli/comment.go
CMD-033,Comment,CLI command,linctl comment update,"As a Linear operator using linctl, I want to edit a comment after pinned-target comparison so I can work from the agent-safe CLI surface.",Edit a comment after pinned-target comparison. Usage: linctl comment update COMMENT_ID [flags]. Supported flags: --body string new comment body as markdown; use - to read stdin; --body-file string read new comment body from file Guarded writes must resolve the active target and fail closed on target mismatch.,Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23,go test -count=1 ./internal/cli,package passed; command args appear in internal/cli/command_flow_test.go; internal/cli/coverage_test.go,,Behavior evidence from existing package tests; verify exact scenario before live release sign-off,Requires live Linear fixture or local argument value,skills/linctl/references/commands.md; internal/cli/comment.go
CMD-034,Core,CLI command,linctl current,"As a Linear operator using linctl, I want to resolve the Linear issue for the current checkout so I can work from the agent-safe CLI surface.",Resolve the Linear issue for the current checkout. Usage: linctl current. Local-only behavior must not perform unintended remote mutations.,Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23,go test -count=1 ./internal/cli,package passed; command args appear in internal/cli/command_flow_test.go,,Behavior evidence from existing package tests; verify exact scenario before live release sign-off,,skills/linctl/references/commands.md; internal/cli/current.go
CMD-035,Custom View,CLI command,linctl custom-view get,"As a Linear operator using linctl, I want to get one custom view by id or slug so I can work from the agent-safe CLI surface.",Get one custom view by id or slug. Usage: linctl custom-view get CUSTOM_VIEW_ID.,Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,Referenced in docs/test-scenarios.md; verify in current loop before marking passed,Requires live Linear fixture or local argument value,skills/linctl/references/commands.md; internal/cli/custom_view.go
CMD-036,Custom View,CLI command,linctl custom-view initiatives,"As a Linear operator using linctl, I want to list initiatives matching a custom view so I can work from the agent-safe CLI surface.",List initiatives matching a custom view. Usage: linctl custom-view initiatives CUSTOM_VIEW_ID [flags]. Supported flags: --limit int maximum initiatives to return (default 50),Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,Referenced in docs/test-scenarios.md; verify in current loop before marking passed,Requires live Linear fixture or local argument value,skills/linctl/references/commands.md; internal/cli/custom_view.go
CMD-037,Custom View,CLI command,linctl custom-view issues,"As a Linear operator using linctl, I want to list issues matching a custom view so I can work from the agent-safe CLI surface.",List issues matching a custom view. Usage: linctl custom-view issues CUSTOM_VIEW_ID [flags]. Supported flags: --limit int maximum issues to return (default 50),Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,Referenced in docs/test-scenarios.md; verify in current loop before marking passed,Requires live Linear fixture or local argument value,skills/linctl/references/commands.md; internal/cli/custom_view.go
CMD-038,Custom View,CLI command,linctl custom-view list,"As a Linear operator using linctl, I want to list visible custom views so I can work from the agent-safe CLI surface.",List visible custom views. Usage: linctl custom-view list [flags]. Supported flags: --limit int maximum custom views to return (default 50),Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,Referenced in docs/test-scenarios.md; verify in current loop before marking passed,,skills/linctl/references/commands.md; internal/cli/custom_view.go
CMD-039,Custom View,CLI command,linctl custom-view organization-preferences values,"As a Linear operator using linctl, I want to read organization default view preference values for a custom view so I can work from the agent-safe CLI surface.",Read organization default view preference values for a custom view. Usage: linctl custom-view organization-preferences values CUSTOM_VIEW_ID.,Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,Referenced in docs/test-scenarios.md; verify in current loop before marking passed,Requires live Linear fixture or local argument value,skills/linctl/references/commands.md; internal/cli/custom_view.go
CMD-040,Custom View,CLI command,linctl custom-view preference-values,"As a Linear operator using linctl, I want to read effective view preference values for a custom view so I can work from the agent-safe CLI surface.",Read effective view preference values for a custom view. Usage: linctl custom-view preference-values CUSTOM_VIEW_ID.,Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,Referenced in docs/test-scenarios.md; verify in current loop before marking passed,Requires live Linear fixture or local argument value,skills/linctl/references/commands.md; internal/cli/custom_view.go
CMD-041,Custom View,CLI command,linctl custom-view projects,"As a Linear operator using linctl, I want to list projects matching a custom view so I can work from the agent-safe CLI surface.",List projects matching a custom view. Usage: linctl custom-view projects CUSTOM_VIEW_ID [flags]. Supported flags: --limit int maximum projects to return (default 50),Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,Referenced in docs/test-scenarios.md; verify in current loop before marking passed,Requires live Linear fixture or local argument value,skills/linctl/references/commands.md; internal/cli/custom_view.go
CMD-042,Custom View,CLI command,linctl custom-view subscribers,"As a Linear operator using linctl, I want to report whether a custom view has subscribers so I can work from the agent-safe CLI surface.",Report whether a custom view has subscribers. Usage: linctl custom-view subscribers CUSTOM_VIEW_ID.,Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,Referenced in docs/test-scenarios.md; verify in current loop before marking passed,Requires live Linear fixture or local argument value,skills/linctl/references/commands.md; internal/cli/custom_view.go
